Oct. 20, 2025   15:59:32
A.C. Impedance
File: droplet1-fteis400mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.4
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 1000
Imp FT
Amplitude (V) = 0.04
Quiet Time (sec) = 0

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+4, 8.849e+4, -2.019e+4, 9.077e+4, -12.9
8.105e+4, 8.915e+4, -2.043e+4, 9.147e+4, -12.9
6.641e+4, 8.930e+4, -2.149e+4, 9.185e+4, -13.5
5.469e+4, 8.982e+4, -2.305e+4, 9.273e+4, -14.4
4.590e+4, 9.005e+4, -2.540e+4, 9.356e+4, -15.8
3.711e+4, 9.045e+4, -2.866e+4, 9.488e+4, -17.6
3.125e+4, 9.066e+4, -3.310e+4, 9.652e+4, -20.1
2.539e+4, 9.092e+4, -3.848e+4, 9.873e+4, -22.9
2.148e+4, 9.109e+4, -4.513e+4, 1.017e+5, -26.4
1.758e+4, 9.141e+4, -5.351e+4, 1.059e+5, -30.3
1.465e+4, 9.192e+4, -6.429e+4, 1.122e+5, -35.0
1.172e+4, 9.292e+4, -7.574e+4, 1.199e+5, -39.2
9.668e+3, 9.452e+4, -8.759e+4, 1.289e+5, -42.8
8.105e+3, 9.424e+4, -1.038e+5, 1.402e+5, -47.8
6.641e+3, 9.550e+4, -1.245e+5, 1.569e+5, -52.5
5.469e+3, 9.828e+4, -1.498e+5, 1.791e+5, -56.7
4.590e+3, 9.879e+4, -1.777e+5, 2.033e+5, -60.9
3.711e+3, 9.846e+4, -2.133e+5, 2.349e+5, -65.2
3.125e+3, 9.904e+4, -2.569e+5, 2.754e+5, -68.9
2.539e+3, 1.010e+5, -3.068e+5, 3.230e+5, -71.8
2.148e+3, 1.028e+5, -3.681e+5, 3.822e+5, -74.4
1.758e+3, 1.027e+5, -4.472e+5, 4.588e+5, -77.1
1.465e+3, 1.081e+5, -5.462e+5, 5.568e+5, -78.8
1.172e+3, 1.237e+5, -6.622e+5, 6.737e+5, -79.4
